Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty,Package,Series,"Part Status","Capacitance","Tolerance","Voltage - Rated","ESR (Equivalent Series Resistance)","Lifetime @ Temp.","Termination","Mounting Type","Package / Case","Lead Spacing","Size / Dimension","Height - Seated (Max)","Operating Temperature"
"https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-hv-supercapacitors-cylindrical-cells-data-sheet.pdf","//media.digikey.com/Photos/Cooper%20Bussmann%20Photos/HV1625-2R7256-R.jpg","HV1625-2R7256-2-ND","HV1625-2R7256-2","Eaton - Electronics Division","Eaton - Electronics Division","CAPACITOR DOUBLE LAYER TH","0","Active","0","0","Bulk","-","Active","-","-","-","-","-","-","-","-","-","-","-","-"
"https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-pm-supercapacitors-cylindrical-pack-data-sheet.pdf","//media.digikey.com/Photos/Cooper%20Bussmann%20Photos/PM-5R0H305-R.jpg","PM-5R0H305T-1-ND","PM-5R0H305T-1","Eaton - Electronics Division","Eaton - Electronics Division","CAPACITOR DOUBLE LAYER TH","0","Active","0","0","Bulk","-","Active","-","-","-","-","-","-","-","-","-","-","-","-"
"-","-","1182-BMOD0058E016C02-ND","BMOD0058 E016 C02","Maxwell Technologies Korea Co., Ltd.","Maxwell Technologies Korea Co., Ltd.","CAP 58F 16V PLASTIC CASE","0","Active","0","0","Bulk","-","Active","58 F","-","16 V","22mOhm","-","Screw Terminals","Chassis Mount","Module, Screw Terminals","-","8.917"" L x 1.949"" W (226.50mm x 49.50mm)","3.012"" (76.50mm)","-40°C ~ 65°C"
"http://www.illinoiscapacitor.com/pdf/seriesDocuments/DER%20series.pdf","//media.digikey.com/Photos/Illinois%20Capacitor/MFG_DCR-Series-less22mm.JPG","105DER2R5SFN-ND","105DER2R5SFN","Illinois Capacitor","Illinois Capacitor","CAP 1F -20%, +50% 2.5V T/H","0","0.53841","0","12000","Bulk","DER","Active","1 F","-20%, +50%","2.5 V","500mOhm","1000 Hrs @ 70°C","PC Pins","Through Hole","Radial, Can","0.138"" (3.50mm)","0.315"" Dia (8.00mm)","0.532"" (13.50mm)","-25°C ~ 70°C"
"http://www.elna.co.jp/en/capacitor/double_layer/catalog/pdf/dc_e.pdf","//media.digikey.com/photos/Elna%20America%20Photos/DC-2R5E204T614-E.JPG","DC-2R5E404T-E-ND","DC-2R5E404T-E","Elna America","Elna America","CAP 400MF -20% +80% 2.5V SMD","0","0.67468","0","1000","Tray","DC","Active","400 mF","-20%, +80%","2.5 V","100Ohm","500 Hrs @ 70°C","SMD (SMT) Tabs","Surface Mount","Coin, Thin Terminals - Same Sides","0.079"" (2.00mm)","0.268"" Dia (6.80mm)","0.102"" (2.60mm)","-25°C ~ 70°C"
"http://www.illinoiscapacitor.com/pdf/seriesDocuments/DER%20series.pdf","//media.digikey.com/Photos/Illinois%20Capacitor/MFG_DCR-Series-less22mm.JPG","205DER2R5SFQ-ND","205DER2R5SFQ","Illinois Capacitor","Illinois Capacitor","CAP 2F -20% +50% 2.5V T/H","0","0.73174","0","12000","Bulk","DER","Active","2 F","-20%, +50%","2.5 V","350mOhm","1000 Hrs @ 70°C","PC Pins","Through Hole","Radial, Can","0.138"" (3.50mm)","0.315"" Dia (8.00mm)","0.689"" (17.50mm)","-25°C ~ 70°C"
"http://www.illinoiscapacitor.com/pdf/seriesDocuments/DCN%20series.pdf","//media.digikey.com/Photos/Illinois%20Capacitor/MFG_Rad_lytic_black.jpg","205DCN2R7S-ND","205DCN2R7S","Illinois Capacitor","Illinois Capacitor","CAPACITOR 2F -20% +50% 2.7V T/H","0","0.7354","0","6000","Bulk","DCN","Active","2 F","-20%, +50%","2.7 V","280mOhm @ 1kHz","1000 Hrs @ 60°C","PC Pins","Through Hole","Radial, Can","0.138"" (3.50mm)","0.315"" Dia (8.00mm)","0.689"" (17.50mm)","-40°C ~ 60°C"
"http://www.illinoiscapacitor.com/pdf/seriesDocuments/DER%20series.pdf","//media.digikey.com/Photos/Illinois%20Capacitor/MFG_DCR-Series-less22mm.JPG","305DER2R5SFU-ND","305DER2R5SFU","Illinois Capacitor","Illinois Capacitor","CAP 3F -20% +50% 2.5V T/H","0","0.82343","0","6000","Bulk","DER","Active","3 F","-20%, +50%","2.5 V","200mOhm","1000 Hrs @ 70°C","PC Pins","Through Hole","Radial, Can","0.138"" (3.50mm)","0.315"" Dia (8.00mm)","0.846"" (21.50mm)","-25°C ~ 70°C"
"//media.digikey.com/pdf/Data%20Sheets/Illinois%20Cap/305DER2R5SFJG_Spec.pdf","//media.digikey.com/Photos/Illinois%20Capacitor/MFG_Rad_lytic_black.jpg","305DER2R5SFJG-ND","305DER2R5SFJG","Illinois Capacitor","Illinois Capacitor","CAP 3F -20% +50% 2.5V T/H","0","0.82343","0","6000","Bulk","DER","Active","3 F","-20%, +50%","2.5 V","160mOhm @ 1kHz","1000 Hrs @ 70°C","PC Pins","Through Hole","Radial, Can","0.138"" (3.50mm)","0.315"" Dia (8.00mm)","0.846"" (21.50mm)","-25°C ~ 70°C"
"-","//media.digikey.com/photos/Elna%20America%20Photos/MFG_DSK%20SERIES.jpg","604-DS-2R5E204T614-ETR-ND","DS-2R5E204T614-E","Elna America","Elna America","CAP 200MF -20% +80% 2.5V SMD","0","0.85065","0","1500","Tape & Reel (TR)","DS","Active","200 mF","-20%, +80%","2.5 V","100Ohm @ 1kHz","1000 Hrs @ 70°C","SMD (SMT) Tabs","Surface Mount","Coin, Wide Terminals - Opposite Sides","-","0.268"" Dia (6.80mm)","0.071"" (1.80mm)","-25°C ~ 70°C"
"http://www.illinoiscapacitor.com/pdf/seriesDocuments/DCN%20series.pdf","//media.digikey.com/Photos/Illinois%20Capacitor/MFG_DCR-Series-less22mm.JPG","305DCN2R7Q-ND","305DCN2R7Q","Illinois Capacitor","Illinois Capacitor","CAP 3F -10% +30% 2.7V T/H","0","0.87266","0","12000","Bulk","DCN","Active","3 F","-10%, +30%","2.7 V","160mOhm","1000 Hrs @ 60°C","PC Pins","Through Hole","Radial, Can","0.138"" (3.50mm)","0.315"" Dia (8.00mm)","0.846"" (21.50mm)","-40°C ~ 60°C"
"http://datasheets.avx.com/AVX-SCC-LE.pdf","//media.digikey.com/Photos/AVX%20Photos/MFG_AVX_SCC-SHRK-WRP.jpg","478-SCCR12B105PRBLE-ND","SCCR12B105PRBLE","AVX Corporation","AVX Corporation","SUPERCAP CYLINDRICAL","0","0.91696","0","2400","Bulk","SCC LE","Active","1 F","0%, +100%","2.7 V","140mOhm @ 1kHz","2000 Hrs @ 65°C","PC Pins","Through Hole","Radial, Can","0.138"" (3.50mm)","0.315"" Dia (8.00mm)","0.531"" (13.50mm)","-40°C ~ 65°C"
"http://www.illinoiscapacitor.com/pdf/seriesDocuments/DCN%20series.pdf","//media.digikey.com/Photos/Illinois%20Capacitor/MFG_Rad_lytic_black.jpg","335DCN2R7MGJG-ND","335DCN2R7MGJG","Illinois Capacitor","Illinois Capacitor","CAPACITOR 3.3F 20% 2.7V T/H","0","0.92687","0","6000","Bulk","DCN","Active","3.3 F","±20%","2.7 V","160mOhm @ 1kHz","1000 Hrs @ 60°C","PC Pins","Through Hole","Radial, Can","0.197"" (5.00mm)","0.394"" Dia (10.00mm)","0.846"" (21.50mm)","-40°C ~ 60°C"
"http://www.illinoiscapacitor.com/pdf/seriesDocuments/DER%20series.pdf","//media.digikey.com/Photos/Illinois%20Capacitor/MFG_DCR-Series-less22mm.JPG","335DER2R5SGU-ND","335DER2R5SGU","Illinois Capacitor","Illinois Capacitor","CAP 3.3F -20% +50% 2.5V T/H","0","0.94674","0","6000","Bulk","DER","Active","3.3 F","-20%, +50%","2.5 V","200mOhm","1000 Hrs @ 70°C","PC Pins","Through Hole","Radial, Can","0.197"" (5.00mm)","0.394"" Dia (10.00mm)","0.846"" (21.50mm)","-25°C ~ 70°C"
"https://products.nichicon.co.jp/en/pdf/XJA046/e-juw.pdf","//media.digikey.com/Photos/Nichicon%20Photos/JUWT1105MCD.JPG","493-4330-ND","JUWT1105MCD","Nichicon","Nichicon","CAP 1F 20% 2.7V T/H","0","0.96","0","1","Bulk","EVerCAP® JUW","Active","1 F","±20%","2.7 V","4Ohm @ 1kHz","1000 Hrs @ 70°C","PC Pins","Through Hole","Radial, Can","0.098"" (2.50mm)","0.248"" Dia (6.30mm)","0.413"" (10.50mm)","-25°C ~ 70°C"
"http://datasheets.avx.com/AVX-SCC.pdf","-","478-SCCQ15B125SRB-ND","SCCQ15B125SRB","AVX Corporation","AVX Corporation","SUPERCAP CYLINDRICAL","0","1.027","0","3000","Bulk","SCC","Active","1.2 F","-10%, +30%","2.7 V","240mOhm @ 1kHz","2000 Hrs @ 65°C","PC Pins","Through Hole","Radial, Can","0.091"" (2.30mm)","0.248"" Dia (6.30mm)","0.650"" (16.50mm)","-40°C ~ 65°C"
"http://datasheets.avx.com/AVX-SCC-LE.pdf","//media.digikey.com/Photos/AVX%20Photos/MFG_AVX_SCC-SHRK-WRP.jpg","478-SCCR20B335PRTLE-ND","SCCR20B335PRTLE","AVX Corporation","AVX Corporation","SUPERCAP CYLINDRICAL","0","1.06368","0","2652","Tray","SCC LE","Active","3.3 F","0%, +100%","2.7 V","60mOhm @ 1kHz","2000 Hrs @ 65°C","PC Pins","Through Hole","Radial, Can","0.138"" (3.50mm)","0.315"" Dia (8.00mm)","0.846"" (21.50mm)","-40°C ~ 65°C"
"http://www.illinoiscapacitor.com/pdf/seriesDocuments/DCR%20series.pdf","//media.digikey.com/Photos/Illinois%20Capacitor/MFG_DCR-Series-less22mm.JPG","106DCR2R3SGU-ND","106DCR2R3SGU","Illinois Capacitor","Illinois Capacitor","CAP 10F -20%, +50% 2.3V T/H","0","1.08225","0","4800","Bulk","DCR","Active","10 F","-20%, +50%","2.3 V","220mOhm @ 1kHz","1000 Hrs @ 70°C","PC Pins","Through Hole","Radial, Can","0.197"" (5.00mm)","0.394"" Dia (10.00mm)","0.866"" (22.00mm)","-25°C ~ 70°C"
"http://datasheets.avx.com/AVX-SCC-LE.pdf","//media.digikey.com/Photos/AVX%20Photos/MFG_AVX_SCC-SHRK-WRP.jpg","478-SCCR25B505PRB-ND","SCCR25B505PRB","AVX Corporation","AVX Corporation","SUPERCAP CYLINDRICAL","0","1.12209","0","1200","Bulk","SCC","Active","5 F","0%, +100%","2.7 V","85mOhm @ 1kHz","2000 Hrs @ 65°C","PC Pins","Through Hole","Radial, Can","0.138"" (3.50mm)","0.315"" Dia (8.00mm)","1.043"" (26.50mm)","-40°C ~ 65°C"
"-","-","478-SCCR20B405MRB-ND","SCCR20B405MRB","AVX Corporation","AVX Corporation","SUPERCAP CYLINDRICAL","0","1.16013","0","1600","Bulk","SCC","Active","4 F","±20%","2.7 V","-","2000 Hrs @ 65°C","PC Pins","Through Hole","Radial, Can","0.138"" (3.50mm)","0.315"" Dia (8.00mm)","0.846"" (21.50mm)","-40°C ~ 65°C"
"http://www.illinoiscapacitor.com/pdf/seriesDocuments/DER%20series.pdf","//media.digikey.com/Photos/Illinois%20Capacitor/MFG_DCR-Series-less22mm.JPG","475DER2R5SGU-ND","475DER2R5SGU","Illinois Capacitor","Illinois Capacitor","CAP 4.7F -20% +50% 2.5V T/H","0","1.18808","0","4800","Bulk","DER","Active","4.7 F","-20%, +50%","2.5 V","180mOhm","1000 Hrs @ 70°C","PC Pins","Through Hole","Radial, Can","0.197"" (5.00mm)","0.394"" Dia (10.00mm)","0.846"" (21.50mm)","-25°C ~ 70°C"
"//media.digikey.com/pdf/Data%20Sheets/Cornell%20Dubilier%20PDFs/EDC_Type_DS.pdf","-","338-EDC473Z5R5V-ND","EDC473Z5R5V","Cornell Dubilier Electronics (CDE)","Cornell Dubilier Electronics (CDE)","0.047F, 5.5V","0","1.19246","0","4000","Bulk","EDC","Active","47 mF","-20%, +80%","5.5 V","120Ohm @ 1kHz","1000 Hrs @ 70°C","PC Pins","Through Hole","Axial, Can - Vertical","0.197"" (5.00mm)","0.453"" Dia (11.50mm)","0.512"" (13.00mm)","-25°C ~ 70°C"
"//media.digikey.com/pdf/Data%20Sheets/Cornell%20Dubilier%20PDFs/EDC_Type_DS.pdf","-","338-EDC473Z5R5H-ND","EDC473Z5R5H","Cornell Dubilier Electronics (CDE)","Cornell Dubilier Electronics (CDE)","0.047F, 5.5V","0","1.19246","0","4000","Bulk","EDC","Active","47 mF","-20%, +80%","5.5 V","120Ohm @ 1kHz","1000 Hrs @ 70°C","PC Pins","Through Hole","Axial, Can - Horizontal","0.394"" (10.00mm)","0.453"" Dia (11.50mm)","0.236"" (6.00mm)","-25°C ~ 70°C"
"//media.digikey.com/pdf/Data%20Sheets/Cornell%20Dubilier%20PDFs/EDS_Type_DS.pdf","-","338-EDS473Z3R6V-ND","EDS473Z3R6V","Cornell Dubilier Electronics (CDE)","Cornell Dubilier Electronics (CDE)","0.047F, 3.6V","0","1.22859","0","4000","Bulk","EDS","Active","47 mF","-20%, +80%","3.6 V","120Ohm @ 1kHz","1000 Hrs @ 85°C","PC Pins","Through Hole","Axial, Can - Vertical","0.197"" (5.00mm)","0.453"" Dia (11.50mm)","0.512"" (13.00mm)","-25°C ~ 85°C"
"//media.digikey.com/pdf/Data%20Sheets/Cornell%20Dubilier%20PDFs/EDS_Type_DS.pdf","-","338-EDS473Z3R6H-ND","EDS473Z3R6H","Cornell Dubilier Electronics (CDE)","Cornell Dubilier Electronics (CDE)","0.047F, 3.6V","0","1.22859","0","4000","Bulk","EDS","Active","47 mF","-20%, +80%","3.6 V","120Ohm @ 1kHz","1000 Hrs @ 85°C","PC Pins","Through Hole","Axial, Can - Horizontal","0.394"" (10.00mm)","0.453"" Dia (11.50mm)","0.236"" (6.00mm)","-25°C ~ 85°C"
"//media.digikey.com/pdf/Data%20Sheets/Cornell%20Dubilier%20PDFs/EDC_Type_DS.pdf","-","338-EDC473Z5R5C-ND","EDC473Z5R5C","Cornell Dubilier Electronics (CDE)","Cornell Dubilier Electronics (CDE)","0.047F, 5.5V","0","1.24707","0","3000","Bulk","EDC","Active","47 mF","-20%, +80%","5.5 V","120Ohm @ 1kHz","1000 Hrs @ 70°C","PC Pins","Through Hole","Radial, Can","0.197"" (5.00mm)","0.531"" Dia (13.50mm)","0.276"" (7.00mm)","-25°C ~ 70°C"
"//media.digikey.com/pdf/Data%20Sheets/Cornell%20Dubilier%20PDFs/EDS_Type_DS.pdf","-","338-EDS473Z3R6C-ND","EDS473Z3R6C","Cornell Dubilier Electronics (CDE)","Cornell Dubilier Electronics (CDE)","0.047F, 3.6V","0","1.28375","0","3000","Bulk","EDS","Active","47 mF","-20%, +80%","3.6 V","120Ohm @ 1kHz","1000 Hrs @ 85°C","PC Pins","Through Hole","Radial, Can","0.197"" (5.00mm)","0.531"" Dia (13.50mm)","0.276"" (7.00mm)","-25°C ~ 85°C"
"//media.digikey.com/pdf/Data%20Sheets/Cornell%20Dubilier%20PDFs/EDC_Type_DS.pdf","-","338-EDC104Z5R5H-ND","EDC104Z5R5H","Cornell Dubilier Electronics (CDE)","Cornell Dubilier Electronics (CDE)","0.1F, 5.5V","0","1.31893","0","4000","Bulk","EDC","Active","100 mF","-20%, +80%","5.5 V","75Ohm @ 1kHz","1000 Hrs @ 70°C","PC Pins","Through Hole","Axial, Can - Horizontal","0.394"" (10.00mm)","0.453"" Dia (11.50mm)","0.236"" (6.00mm)","-25°C ~ 70°C"
"//media.digikey.com/pdf/Data%20Sheets/Cornell%20Dubilier%20PDFs/EDC_Type_DS.pdf","-","338-EDC104Z5R5V-ND","EDC104Z5R5V","Cornell Dubilier Electronics (CDE)","Cornell Dubilier Electronics (CDE)","0.1F, 5.5V","0","1.31893","0","4000","Bulk","EDC","Active","100 mF","-20%, +80%","5.5 V","75Ohm @ 1kHz","1000 Hrs @ 70°C","PC Pins","Through Hole","Axial, Can - Vertical","0.197"" (5.00mm)","0.453"" Dia (11.50mm)","0.512"" (13.00mm)","-25°C ~ 70°C"
"//media.digikey.com/pdf/Data%20Sheets/Cornell%20Dubilier%20PDFs/EDS_Type_DS.pdf","-","338-EDS104Z3R6V-ND","EDS104Z3R6V","Cornell Dubilier Electronics (CDE)","Cornell Dubilier Electronics (CDE)","0.1F, 3.6V","0","1.35507","0","4000","Bulk","EDS","Active","100 mF","-20%, +80%","3.6 V","75Ohm @ 1kHz","1000 Hrs @ 85°C","PC Pins","Through Hole","Axial, Can - Vertical","0.197"" (5.00mm)","0.453"" Dia (11.50mm)","0.512"" (13.00mm)","-25°C ~ 85°C"
"//media.digikey.com/pdf/Data%20Sheets/Cornell%20Dubilier%20PDFs/EDS_Type_DS.pdf","-","338-EDS104Z3R6H-ND","EDS104Z3R6H","Cornell Dubilier Electronics (CDE)","Cornell Dubilier Electronics (CDE)","0.1F, 3.6V","0","1.35507","0","4000","Bulk","EDS","Active","100 mF","-20%, +80%","3.6 V","75Ohm @ 1kHz","1000 Hrs @ 85°C","PC Pins","Through Hole","Axial, Can - Horizontal","0.394"" (10.00mm)","0.453"" Dia (11.50mm)","0.236"" (6.00mm)","-25°C ~ 85°C"
"http://www.illinoiscapacitor.com/pdf/seriesDocuments/DER%20series.pdf","//media.digikey.com/Photos/Illinois%20Capacitor/MFG_DCR-Series-less22mm.JPG","705DER2R5SGV-ND","705DER2R5SGV","Illinois Capacitor","Illinois Capacitor","CAP 7F -20% +50% 2.5V T/H","0","1.37494","0","4800","Bulk","DER","Active","7 F","-20%, +50%","2.5 V","140mOhm","1000 Hrs @ 70°C","PC Pins","Through Hole","Radial, Can","0.197"" (5.00mm)","0.394"" Dia (10.00mm)","1.043"" (26.50mm)","-25°C ~ 70°C"
"//media.digikey.com/pdf/Data%20Sheets/Cornell%20Dubilier%20PDFs/EDC_Type_DS.pdf","-","338-EDC104Z5R5C-ND","EDC104Z5R5C","Cornell Dubilier Electronics (CDE)","Cornell Dubilier Electronics (CDE)","CAP 100MF -20% +80% 5.5V T/H","0","1.37544","0","3000","Bulk","EDC","Active","100 mF","-20%, +80%","5.5 V","75Ohm @ 1kHz","1000 Hrs @ 70°C","PC Pins","Through Hole","Radial, Can","0.197"" (5.00mm)","0.531"" Dia (13.50mm)","0.276"" (7.00mm)","-25°C ~ 70°C"
"//media.digikey.com/pdf/Data%20Sheets/Cornell%20Dubilier%20PDFs/EDS_Type_DS.pdf","-","338-EDS104Z3R6C-ND","EDS104Z3R6C","Cornell Dubilier Electronics (CDE)","Cornell Dubilier Electronics (CDE)","0.1F, 3.6V","0","1.41212","0","3000","Bulk","EDS","Active","100 mF","-20%, +80%","3.6 V","75Ohm @ 1kHz","1000 Hrs @ 85°C","PC Pins","Through Hole","Radial, Can","0.197"" (5.00mm)","0.531"" Dia (13.50mm)","0.276"" (7.00mm)","-25°C ~ 85°C"
"//media.digikey.com/pdf/Data%20Sheets/Cornell%20Dubilier%20PDFs/EDS_Type_DS.pdf","-","338-EDS224Z3R6V-ND","EDS224Z3R6V","Cornell Dubilier Electronics (CDE)","Cornell Dubilier Electronics (CDE)","0.22F, 3.6V","0","1.42734","0","4000","Bulk","EDS","Active","220 mF","-20%, +80%","3.6 V","75Ohm @ 1kHz","1000 Hrs @ 85°C","PC Pins","Through Hole","Axial, Can - Vertical","0.197"" (5.00mm)","0.453"" Dia (11.50mm)","0.512"" (13.00mm)","-25°C ~ 85°C"
"https://www.cde.com/resources/catalogs/DGH-series.pdf","//media.digikey.com/Photos/Illinois%20Capacitor/MFG_DGH.JPG","1572-1758-ND","DGH105Q2R7","Illinois Capacitor","Illinois Capacitor","CAPACITOR 1F -10% +30% 2.7V TH","13,725","1.45","0","1","Bulk","DGH","Active","1 F","-10%, +30%","2.7 V","200mOhm","1500 Hrs @ 65°C","PC Pins","Through Hole","Radial, Can","0.138"" (3.50mm)","0.315"" Dia (8.00mm)","0.571"" (14.50mm)","-40°C ~ 65°C"
"http://www.elna.co.jp/en/capacitor/double_layer/catalog/pdf/ds_e.pdf","//media.digikey.com/photos/Elna%20America%20Photos/MFG_DSK%20SERIES.jpg","DS-2R5H204T614-H2L-ND","DS-2R5H204T614-H2L","Elna America","Elna America","CAP 200MF -20% +80% 2.5V SMD","0","1.46714","0","2000","Tape & Reel (TR)","DS","Active","200 mF","-20%, +80%","2.5 V","100Ohm","1000 Hrs @ 70°C","SMD (SMT) Tabs","Surface Mount","Coin, Wide Terminals - Opposite Sides","-","0.268"" Dia (6.80mm)","0.071"" (1.80mm)","-25°C ~ 70°C"
"//media.digikey.com/pdf/Data%20Sheets/Cornell%20Dubilier%20PDFs/EDC_Type_DS.pdf","-","338-EDC224Z5R5C-ND","EDC224Z5R5C","Cornell Dubilier Electronics (CDE)","Cornell Dubilier Electronics (CDE)","0.22F, 5.5V","0","1.48548","0","3000","Bulk","EDC","Active","220 mF","-20%, +80%","5.5 V","75Ohm @ 1kHz","1000 Hrs @ 70°C","PC Pins","Through Hole","Radial, Can","0.197"" (5.00mm)","0.531"" Dia (13.50mm)","0.276"" (7.00mm)","-25°C ~ 70°C"
"//media.digikey.com/pdf/Data%20Sheets/Cornell%20Dubilier%20PDFs/EDS_Type_DS.pdf","-","338-EDS224Z3R6C-ND","EDS224Z3R6C","Cornell Dubilier Electronics (CDE)","Cornell Dubilier Electronics (CDE)","0.22F, 3.6V","0","1.48548","0","3000","Bulk","EDS","Active","220 mF","-20%, +80%","3.6 V","75Ohm @ 1kHz","1000 Hrs @ 85°C","PC Pins","Through Hole","Radial, Can","0.197"" (5.00mm)","0.531"" Dia (13.50mm)","0.276"" (7.00mm)","-25°C ~ 85°C"
"http://www.illinoiscapacitor.com/pdf/seriesDocuments/DCN%20series.pdf","//media.digikey.com/Photos/Illinois%20Capacitor/MFG_DCR-Series-less22mm.JPG","1572-1270-ND","105DCN2R7S","Illinois Capacitor","Illinois Capacitor","CAP 1F -20%, +50% 2.7V T/H","2,929","1.54","0","1","Bulk","DCN","Active","1 F","-20%, +50%","2.7 V","400mOhm","1000 Hrs @ 60°C","PC Pins","Through Hole","Radial, Can","0.138"" (3.50mm)","0.315"" Dia (8.00mm)","0.532"" (13.50mm)","-40°C ~ 60°C"
"http://www.elna.co.jp/en/capacitor/double_layer/catalog/pdf/dxj_e.pdf","//media.digikey.com/photos/Elna%20America%20Photos/DXJ-5R5H334U.JPG","604-1079-ND","DXJ-5R5H473U","Elna America","Elna America","CAP 47MF -20% +80% 5.5V T/H","0","1.5405","0","400","Bulk","DXJ","Active","47 mF","-20%, +80%","5.5 V","200Ohm","1000 Hrs @ 85°C","PC Pins","Through Hole","Axial, Can - Horizontal","0.394"" (10.00mm)","0.453"" Dia (11.50mm)","0.217"" (5.50mm)","-10°C ~ 85°C"
"http://www.elna.co.jp/en/capacitor/double_layer/catalog/pdf/dxj_e.pdf","//media.digikey.com/photos/Elna%20America%20Photos/DXJ-5R5H334U.JPG","604-1081-ND","DXJ-5R5H224U","Elna America","Elna America","CAP 220MF -20% +80% 5.5V T/H","0","1.5405","0","400","Bulk","DXJ","Active","220 mF","-20%, +80%","5.5 V","150Ohm","1000 Hrs @ 85°C","PC Pins","Through Hole","Axial, Can - Horizontal","0.394"" (10.00mm)","0.453"" Dia (11.50mm)","0.217"" (5.50mm)","-10°C ~ 85°C"
"http://www.elna.co.jp/en/capacitor/double_layer/catalog/pdf/dxj_e.pdf","//media.digikey.com/Photos/Elna%20America%20Photos/DXJV%20SERIES.JPG","604-1087-ND","DXJ-5R5V473U","Elna America","Elna America","CAP 47MF -20% +80% 5.5V T/H","0","1.5405","0","400","Bulk","DXJ","Active","47 mF","-20%, +80%","5.5 V","200Ohm","1000 Hrs @ 85°C","PC Pins","Through Hole","Axial, Can - Vertical","0.197"" (5.00mm)","0.453"" Dia (11.50mm)","0.532"" (13.50mm)","-10°C ~ 85°C"
"http://www.elna.co.jp/en/capacitor/double_layer/catalog/pdf/dxj_e.pdf","//media.digikey.com/Photos/Elna%20America%20Photos/DXJV%20SERIES.JPG","604-1088-ND","DXJ-5R5V104U","Elna America","Elna America","CAP 100MF -20% +80% 5.5V T/H","0","1.5405","0","400","Bulk","DXJ","Active","100 mF","-20%, +80%","5.5 V","150Ohm","1000 Hrs @ 85°C","PC Pins","Through Hole","Axial, Can - Vertical","0.197"" (5.00mm)","0.453"" Dia (11.50mm)","0.532"" (13.50mm)","-10°C ~ 85°C"
"//media.digikey.com/pdf/Data%20Sheets/Cornell%20Dubilier%20PDFs/EDS_Type_DS.pdf","-","338-EDS334Z3R6V-ND","EDS334Z3R6V","Cornell Dubilier Electronics (CDE)","Cornell Dubilier Electronics (CDE)","0.33F, 3.6V","0","1.55381","0","4000","Bulk","EDS","Active","330 mF","-20%, +80%","3.6 V","75Ohm @ 1kHz","1000 Hrs @ 85°C","PC Pins","Through Hole","Axial, Can - Vertical","0.197"" (5.00mm)","0.453"" Dia (11.50mm)","0.512"" (13.00mm)","-25°C ~ 85°C"
"//media.digikey.com/pdf/Data%20Sheets/Cornell%20Dubilier%20PDFs/EDS_Type_DS.pdf","-","338-EDS334Z3R6H-ND","EDS334Z3R6H","Cornell Dubilier Electronics (CDE)","Cornell Dubilier Electronics (CDE)","0.33F, 3.6V","0","1.55381","0","4000","Bulk","EDS","Active","330 mF","-20%, +80%","3.6 V","75Ohm @ 1kHz","1000 Hrs @ 85°C","PC Pins","Through Hole","Axial, Can - Horizontal","0.394"" (10.00mm)","0.453"" Dia (11.50mm)","0.236"" (6.00mm)","-25°C ~ 85°C"
"//media.digikey.com/pdf/Data%20Sheets/Cornell%20Dubilier%20PDFs/EDC_Type_DS.pdf","-","338-EDC334Z5R5C-ND","EDC334Z5R5C","Cornell Dubilier Electronics (CDE)","Cornell Dubilier Electronics (CDE)","0.33F, 5.5V","0","1.57717","0","3000","Bulk","EDC","Active","330 mF","-20%, +80%","5.5 V","75Ohm @ 1kHz","1000 Hrs @ 70°C","PC Pins","Through Hole","Radial, Can","0.197"" (5.00mm)","0.531"" Dia (13.50mm)","0.276"" (7.00mm)","-25°C ~ 70°C"
"//media.digikey.com/pdf/Data%20Sheets/Cornell%20Dubilier%20PDFs/EDS_Type_DS.pdf","-","338-EDS334Z3R6C-ND","EDS334Z3R6C","Cornell Dubilier Electronics (CDE)","Cornell Dubilier Electronics (CDE)","0.33F, 3.6V","0","1.61385","0","3000","Bulk","EDS","Active","330 mF","-20%, +80%","3.6 V","75Ohm @ 1kHz","1000 Hrs @ 85°C","PC Pins","Through Hole","Radial, Can","0.197"" (5.00mm)","0.531"" Dia (13.50mm)","0.276"" (7.00mm)","-25°C ~ 85°C"
"//media.digikey.com/pdf/Data%20Sheets/Elna%20America%20Inc/DS,DSK.pdf","//media.digikey.com/photos/Elna%20America%20Photos/MFG_DSK%20SERIES.jpg","604-1019-2-ND","DS-2R5H224U-HL","Elna America","Elna America","CAP 220MF -20% +80% 2.5V SMD","0","1.61657","0","1500","Tape & Reel (TR)","DS","Active","220 mF","-20%, +80%","2.5 V","100Ohm","1000 Hrs @ 70°C","SMD (SMT) Tabs","Surface Mount","Coin, Wide Terminals - Opposite Sides","-","0.268"" Dia (6.80mm)","0.118"" (3.00mm)","-25°C ~ 70°C"
"https://www.cde.com/resources/catalogs/DGH-series.pdf","//media.digikey.com/Photos/Illinois%20Capacitor/MFG_DGH.JPG","1572-1773-ND","DGH205Q2R7","Illinois Capacitor","Illinois Capacitor","CAPACITOR 2F -10% +30% 2.7V TH","13,789","1.62","0","1","Bulk","DGH","Active","2 F","-10%, +30%","2.7 V","130mOhm","1500 Hrs @ 65°C","PC Pins","Through Hole","Radial, Can","0.138"" (3.50mm)","0.315"" Dia (8.00mm)","0.610"" (15.50mm)","-40°C ~ 65°C"
